title,link,published,description,category,source,source sub-category,id
Canadian women released from camp for ISIS detainees in Syria,https://globalnews.ca/news/8617186/canadian-women-released-from-camp-for-isis-detainees-in-syria/,"Tue, 25 Oct 2022 16:39:47 +0000",B.C. and Quebec women expected to return to Canada tonight.,Canada,global news,Global BC,https://globalnews.ca/?p=8617186
Heavy snowfall in forecast for Highway 3: Environment Canada,https://globalnews.ca/news/9224488/snowfall-warning-highway-3-kootenay-pass/,"Tue, 25 Oct 2022 16:11:28 +0000","Snowfall will be heaviest after midnight, then ease Wednesday morning as the low exits the province.",Weather,global news,Global BC,https://globalnews.ca/?p=9224488
In-person Diwali celebrations return to B.C. after pandemic hiatus,https://globalnews.ca/news/9223695/in-person-diwali-celebrations-return-bc-pandemic-hiatus/,"Tue, 25 Oct 2022 02:59:50 +0000","Gurdwaras and Mandirs across the province were busy Monday, as people brought goods and sweets, and lit Diyas, small lamps representing the triumph of light over dark.",Canada,global news,Global BC,https://globalnews.ca/?p=9223695
B.C. reaches temporary deal with paramedics aimed at boosting rural staffing,https://globalnews.ca/news/9223520/bc-rural-ambulance-incentives/,"Tue, 25 Oct 2022 02:00:10 +0000","The agreement will significantly boost the pay rural and remote paramedics receive while on-call, and offer overtime at double pay rates in certain circumstances. ",Health,global news,Global BC,https://globalnews.ca/?p=9223520
Saskatoon police further investigate teen's death that family believes is suspicious,https://saskatoon.ctvnews.ca/saskatoon-police-further-investigate-teen-s-death-that-family-believes-is-suspicious-1.6124386,"Tue, 25 Oct 2022 13:42:00 -0600",A Saskatoon father says police are taking further action in the investigation of his teen son’s death.,,CTV News,CTV Saskatoon: Latest News,1.6124386
Beleaguered Warman clinic reopen after emergency closure,https://saskatoon.ctvnews.ca/beleaguered-warman-clinic-reopen-after-emergency-closure-1.6123177,"Mon, 24 Oct 2022 18:18:00 -0600","Legends Medical Clinic in Warman reopened to the public today, nearly two weeks after shutting its door to walk-in patients due to a physician shortage and abusive behaviour towards staff and doctors.",,CTV News,CTV Saskatoon: Latest News,1.6123177
"Moe talks immigration, energy in Saskatoon throne speech preview",https://saskatoon.ctvnews.ca/moe-talks-immigration-energy-in-saskatoon-throne-speech-preview-1.6123029,"Mon, 24 Oct 2022 17:22:00 -0600",Premier Scott Moe gave a sneak peek of what will be coming out of Wednesday’s throne speech on Monday afternoon in Saskatoon.,,CTV News,CTV Saskatoon: Latest News,1.6123029
'I could represent myself': Greg Fertuck’s lawyers walk out of the courtroom,https://saskatoon.ctvnews.ca/i-could-represent-myself-greg-fertuck-s-lawyers-walk-out-of-the-courtroom-1.6122663,"Mon, 24 Oct 2022 13:41:00 -0600","After investing more than 500 hours into Greg Fertuck’s case, both of his lawyers walked out of the courtroom, mid murder trial.",,CTV News,CTV Saskatoon: Latest News,1.6122663
Prince Albert looking to build permanent shelter for city’s homeless,https://saskatoon.ctvnews.ca/prince-albert-looking-to-build-permanent-shelter-for-city-s-homeless-1.6123234,"Mon, 24 Oct 2022 18:35:00 -0600",The City of Prince Albert is looking to the Saskatoon Tribal Council as a role model in its quest to develop a permanent shelter for the city's homeless population.,,CTV News,CTV Saskatoon: Latest News,1.6123234
Expect no revelations from Saskatoon administration report on Donauer: Solicitor,https://saskatoon.ctvnews.ca/expect-no-revelations-from-saskatoon-administration-report-on-donauer-solicitor-1.6123004,"Mon, 24 Oct 2022 16:49:00 -0600",City council won’t learn anything new when a report providing options available to council surrounding allegations facing councillor Randy Donauer is revealed next month.,,CTV News,CTV Saskatoon: Latest News,1.6123004
FSIN pays tribute to families of victims in James Smith attacks,https://saskatoon.ctvnews.ca/fsin-pays-tribute-to-families-of-victims-in-james-smith-attacks-1.6122535,"Mon, 24 Oct 2022 12:20:44 -0600",On Sunday members of the Federation of Sovereign Indigenous Nations (FSIN) paid tribute to the families of James Smith Cree Nation at the annual Spirit of Our Nations Pow wow.,,CTV News,CTV Saskatoon: Latest News,1.6122535
New boundaries coming for Saskatoon's electoral wards,https://saskatoon.ctvnews.ca/new-boundaries-coming-for-saskatoon-s-electoral-wards-1.6121665,"Sun, 23 Oct 2022 17:15:00 -0600",The map of Saskatoon's municipal wards is about to be redrawn,,CTV News,CTV Saskatoon: Latest News,1.6121665
'I fell in love with it': Saskatoon boxing champ. trains the next generation,https://saskatoon.ctvnews.ca/i-fell-in-love-with-it-saskatoon-boxing-champ-trains-the-next-generation-1.6121404,"Sun, 23 Oct 2022 12:30:12 -0600",Gary “Hocus Pocus” Kopas is the first to admit he got in too many fights growing up.,,CTV News,CTV Saskatoon: Latest News,1.6121404
Travel advisories in effect as vast region of southern Sask. hit with snow,https://saskatoon.ctvnews.ca/travel-advisories-in-effect-as-vast-region-of-southern-sask-hit-with-snow-1.6121463,"Sun, 23 Oct 2022 13:26:00 -0600","The province experienced its first full taste of the 2022 winter season on Sunday, with snow falling over a vast swath of southern Saskatchewan.",,CTV News,CTV Saskatoon: Latest News,1.6121463
Ontario announces sweeping housing changes that allow three units on one property,https://toronto.ctvnews.ca/ontario-announces-sweeping-housing-changes-that-allow-three-units-on-one-property-1.6123676,"Tue, 25 Oct 2022 07:07:00 -0400",The Ontario government announced sweeping housing changes on Tuesday that will override municipal zoning laws in some situations and allow for the construction of up to three units on each residential lot.,,CTV News,CTV Toronto: Latest News,1.6123676
New details reveal how the alleged 'crypto king' scheme left investors out millions,https://toronto.ctvnews.ca/new-details-reveal-how-the-alleged-crypto-king-scheme-left-investors-out-millions-1.6123840,"Tue, 25 Oct 2022 10:21:00 -0400",A self-described 'crypto king' from Ontario was living a lavish life – driving a lime green Lamborghini and boating on a multi-levelled yacht – before an investor alleged the 23-year-old had scammed him out of millions.,,CTV News,CTV Toronto: Latest News,1.6123840
'It is exciting': Ausma Malik to become first hijab-wearing Muslim woman to sit on Toronto city council,https://toronto.ctvnews.ca/it-is-exciting-ausma-malik-to-become-first-hijab-wearing-muslim-woman-to-sit-on-toronto-city-council-1.6124317,"Tue, 25 Oct 2022 14:56:14 -0400","There will be nine new faces on Toronto’s city council this year, including the first hijab-wearing Muslim councillor elected to office, Ausma Malik.",,CTV News,CTV Toronto: Latest News,1.6124317
Now might be the best time of year to find a new rental in Toronto. Here's why,https://toronto.ctvnews.ca/now-might-be-the-best-time-of-year-to-find-a-new-rental-in-toronto-here-s-why-1.6124395,"Tue, 25 Oct 2022 16:03:00 -0400","According to one Toronto real estate agent, you can actually use the observed lack of demand in the fall to play the field and lock down a lease on your own terms.",,CTV News,CTV Toronto: Latest News,1.6124395
Pearson Airport tries out runway inspections powered by drones and AI,https://toronto.ctvnews.ca/pearson-airport-tries-out-runway-inspections-powered-by-drones-and-ai-1.6124467,"Tue, 25 Oct 2022 16:43:08 -0400",Pearson is testing out new technology aimed at speeding up runway inspections to make Canada’s busiest airport even busier.,,CTV News,CTV Toronto: Latest News,1.6124467
Peel police investigation leads to the seizure of $25 million worth of drugs,https://toronto.ctvnews.ca/peel-police-investigation-leads-to-the-seizure-of-25-million-worth-of-drugs-1.6124521,"Tue, 25 Oct 2022 17:01:00 -0400","An investigation by Peel Regional Police has lead to the seizure of $25 million dollars worth of narcotics, as well as numerous arrests.",,CTV News,CTV Toronto: Latest News,1.6124521
Ontario's foreign buyers tax hike won't have much affect on already cooling market: experts,https://toronto.ctvnews.ca/ontario-s-foreign-buyers-tax-hike-won-t-have-much-affect-on-already-cooling-market-experts-1.6124382,"Tue, 25 Oct 2022 15:43:07 -0400",Housing industry observers say Ontario's surprise move Monday to increase the tax paid by foreign homebuyers to 25 per cent won't have much affect on the province's already-cooling market.,,CTV News,CTV Toronto: Latest News,1.6124382
Toronto voter turnout appears poised to hit a new record low,https://toronto.ctvnews.ca/toronto-voter-turnout-appears-poised-to-hit-a-new-record-low-1.6124282,"Tue, 25 Oct 2022 14:37:32 -0400",Toronto’s voter turnout appears poised to hit a new record low following a municipal election campaign which lacked a high-profile challenger to John Tory.,,CTV News,CTV Toronto: Latest News,1.6124282
Service Canada doubled its efforts in summer to reduce passport wait times; did it work?,https://www.ctvnews.ca/canada/service-canada-doubled-its-efforts-in-summer-to-reduce-passport-wait-times-did-it-work-1.6123976,"Tue, 25 Oct 2022 11:13:00 -0400","After many Canadians were frustrated with long passport wait times earlier this year, Service Canada doubled its efforts by hiring more staff to expedite processing times. A CTVNews.ca analysis shows it led to an 87% increase in passports issued in October, compared to May, when the backlog was at its worst.",,CTV News,CTV Toronto: Latest News,1.6123976
5 things John Tory said he would do after winning a third term as mayor of Toronto,https://toronto.ctvnews.ca/5-things-john-tory-said-he-would-do-after-winning-a-third-term-as-mayor-of-toronto-1.6124166,"Tue, 25 Oct 2022 13:10:27 -0400",Mayor John Tory was back at his desk bright and early Tuesday morning after handily winning a third term as mayor the night before.,,CTV News,CTV Toronto: Latest News,1.6124166
Great-grandma fends off purse-snatcher with cane,https://vancouverisland.ctvnews.ca/video?playlistId=1.6123983,"Tue, 25 Oct 2022 08:08:28 -0700",,,CTV News,CTV Vancouver Island: Latest News,1.6123983
Doctor explains how COVID infections can age our organs,https://vancouverisland.ctvnews.ca/video?playlistId=1.6123920,"Tue, 25 Oct 2022 07:14:00 -0700",,,CTV News,CTV Vancouver Island: Latest News,1.6123920
This extreme closeup photo of an ant's face is terrifying,https://vancouverisland.ctvnews.ca/video?playlistId=1.6123804,"Tue, 25 Oct 2022 06:12:54 -0700",,,CTV News,CTV Vancouver Island: Latest News,1.6123804
Bear filmed pouncing on salmon on Vancouver Island,https://vancouverisland.ctvnews.ca/video?clipId=2549219,"Mon, 24 Oct 2022 18:15:00 -0700","A Vancouver Island photographer captured incredible videos of black bears hunting for fish in Campbell River, B.C.",,CTV News,CTV Vancouver Island: Latest News,1.6123317
Vigil planned for Saanich murder Victim,https://vancouverisland.ctvnews.ca/video?clipId=2549213,"Mon, 24 Oct 2022 18:12:00 -0700","The mother of Stephanie Elk will be holding a vigil in Saanich, B.C., for her daughter who was murdered in the area.",,CTV News,CTV Vancouver Island: Latest News,1.6123311
Police search for witnesses of dramatic carjacking,https://vancouverisland.ctvnews.ca/video?clipId=2549211,"Mon, 24 Oct 2022 18:10:00 -0700","Victoria police are investigating an ""unusual file"" that includes an alleged assault, carjacking and series of hit-and-runs.",,CTV News,CTV Vancouver Island: Latest News,1.6123310
Island pharmacies low on cold and flu medication,https://vancouverisland.ctvnews.ca/video?clipId=2549210,"Mon, 24 Oct 2022 18:06:00 -0700","Pharmacists on Vancouver Island say there's low stocks of cold and flu medication, especially for children, as flu season approaches.",,CTV News,CTV Vancouver Island: Latest News,1.6123302
Diwali festivities bringing Canadian communities together,https://vancouverisland.ctvnews.ca/video?playlistId=1.6123106,"Mon, 24 Oct 2022 16:30:00 -0700","Environment Canada issued, then removed, references to Diwali in its air quality statement, prompting questions why it was mentioned at all.
",,CTV News,CTV Vancouver Island: Latest News,1.6123106
"Racist insults hurled at theatre performer in London, Ont.",https://vancouverisland.ctvnews.ca/video?playlistId=1.6122991,"Mon, 24 Oct 2022 15:40:34 -0700",,,CTV News,CTV Vancouver Island: Latest News,1.6122991
WARNING: CCTV footage shows moment of plane crash in U.S.,https://vancouverisland.ctvnews.ca/video?playlistId=1.6122555,"Mon, 24 Oct 2022 11:22:37 -0700",,,CTV News,CTV Vancouver Island: Latest News,1.6122555
LIVE NOW: U.S. attorney general makes an announcement,https://vancouverisland.ctvnews.ca/video?playlistId=1.6122242,"Mon, 24 Oct 2022 08:13:00 -0700",,,CTV News,CTV Vancouver Island: Latest News,1.6122242
B.C. RCMP officer set to be sentenced,https://vancouverisland.ctvnews.ca/video?clipId=2548210,"Sun, 23 Oct 2022 23:43:00 -0700",A B.C. RCMP officer who has been convicted of multiple sex crimes is set to be sentenced.,,CTV News,CTV Vancouver Island: Latest News,1.6121856
VPD officers no show at Indigenous family's apology ceremony,https://vancouverisland.ctvnews.ca/video?playlistId=1.6121843,"Sun, 23 Oct 2022 21:41:00 -0700",A B.C. First Nation says it's unclear if the Vancouver officers who wrongfully handcuffed two of its members will participate in an apology ceremony.,,CTV News,CTV Vancouver Island: Latest News,1.6121843
Bear vs. bin,https://vancouverisland.ctvnews.ca/video?clipId=2548186,"Sun, 23 Oct 2022 18:33:04 -0700","Video showing a black bear struggling to break into a B.C., garbage bin is highlighting the importance of properly securing attractants.",,CTV News,CTV Vancouver Island: Latest News,1.6121762
Glue trap warning,https://vancouverisland.ctvnews.ca/video?clipId=2548185,"Sun, 23 Oct 2022 18:33:01 -0700",A B.C. animal rescue group is sounding the alarm about an uptick of birds and bats getting stuck in and harmed by glue traps.,,CTV News,CTV Vancouver Island: Latest News,1.6121765
WATCH: Dogs with goggles become Alaska neighbourhood stars,https://vancouverisland.ctvnews.ca/video?playlistId=1.6121480,"Sun, 23 Oct 2022 12:41:55 -0700",Two dogs became stars in their Alaska neighbourhood after their owner put pairs of goggles on them and took them along for bike rides.,,CTV News,CTV Vancouver Island: Latest News,1.6121480
B.C. couple get married in hospital after tumour diagnosis ,https://vancouverisland.ctvnews.ca/video?playlistId=1.6121047,"Sat, 22 Oct 2022 20:40:13 -0700",A B.C. couple get married in a hospital after the groom was diagnosed with an aggressive tumour. Adam Sawatsky reports. ,,CTV News,CTV Vancouver Island: Latest News,1.6121047
Hundreds spectate the opening of the new Big House in B.C.,https://vancouverisland.ctvnews.ca/video?playlistId=1.6121046,"Sat, 22 Oct 2022 20:35:00 -0700",Hundreds spectate the opening of the new Big House in Tsawout First Nation on Vancouver Island’s Saanich Peninsula. Anna Mcmillan reports. ,,CTV News,CTV Vancouver Island: Latest News,1.6121046
What we know: RSV cases in children spike across U.S.,https://vancouverisland.ctvnews.ca/video?playlistId=1.6121044,"Sat, 22 Oct 2022 20:20:00 -0700",Health care professionals are concerned after a spike in RSV cases in young children in the U.S. Tom Walters reports. ,,CTV News,CTV Vancouver Island: Latest News,1.6121044
Doctor shortage protest,https://vancouverisland.ctvnews.ca/video?clipId=2547919,"Sat, 22 Oct 2022 18:45:09 -0700",Health-care advocates rallied to draw attention to B.C.'s ongoing shortage of family doctors.,,CTV News,CTV Vancouver Island: Latest News,1.6121077
Halloween Grinch on the loose: Several houses in west Windsor report stolen decorations ,https://windsor.ctvnews.ca/halloween-grinch-on-the-loose-several-houses-in-west-windsor-report-stolen-decorations-1.6124579,"Tue, 25 Oct 2022 17:39:04 -0400",Homeowners in west Windsor are speaking out after their Halloween decorations were stolen.,,CTV News,CTV Windsor: Latest News,1.6124579
"Property manager flags fires, problems plaguing plaza",https://windsor.ctvnews.ca/property-manager-flags-fires-problems-plaguing-plaza-1.6124434,"Tue, 25 Oct 2022 16:15:00 -0400","Fires, break-ins, open drug use and vandalism are just some of the problems a property manager says a nearby homeless encampment are bringing to a commercial plaza in South Windsor.",,CTV News,CTV Windsor: Latest News,1.6124434
Motorcyclist and passenger suffer life-threatening injuries after crash on Riverside Drive,https://windsor.ctvnews.ca/motorcyclist-and-passenger-suffer-life-threatening-injuries-after-crash-on-riverside-drive-1.6123973,"Tue, 25 Oct 2022 11:03:36 -0400",Windsor police say two people were sent to hospital with life-threatening injuries after a motorcycle crash on Riverside Drive. ,,CTV News,CTV Windsor: Latest News,1.6123973
Pedestrian dies after getting struck by vehicle in Ridgetown,https://windsor.ctvnews.ca/pedestrian-dies-after-getting-struck-by-vehicle-in-ridgetown-1.6124081,"Tue, 25 Oct 2022 12:01:00 -0400",A 66-year-old Morpeth woman has succumbed to her injuries after getting struck by a vehicle in Ridgetown.,,CTV News,CTV Windsor: Latest News,1.6124081
Four Leamington residents facing charges following robberies ,https://windsor.ctvnews.ca/four-leamington-residents-facing-charges-following-robberies-1.6124371,"Tue, 25 Oct 2022 15:35:18 -0400",Four people have been arrested in relation to robberies at businesses in Leamington and Kingsville police believe are connected.,,CTV News,CTV Windsor: Latest News,1.6124371
Ontario announces sweeping housing changes that allow three units on one property,https://toronto.ctvnews.ca/ontario-announces-sweeping-housing-changes-that-allow-three-units-on-one-property-1.6123676,"Tue, 25 Oct 2022 07:07:00 -0400",The Ontario government announced sweeping housing changes on Tuesday that will override municipal zoning laws in some situations and allow for the construction of up to three units on each residential lot.,,CTV News,CTV Windsor: Latest News,1.6123676
GECDSB community survey asking for input on police presence and programs ,https://windsor.ctvnews.ca/gecdsb-community-survey-asking-for-input-on-police-presence-and-programs-1.6124469,"Tue, 25 Oct 2022 16:34:53 -0400",The Greater Essex County District School Board is reviewing its community police programs and is asking for feedback from the community.,,CTV News,CTV Windsor: Latest News,1.6124469
Drew Dilkens re-elected as mayor of Windsor for third term,https://windsor.ctvnews.ca/drew-dilkens-re-elected-as-mayor-of-windsor-for-third-term-1.6122758,"Mon, 24 Oct 2022 16:45:00 -0400",Drew Dilkens declares he has been re-elected as Windsor's mayor. ,,CTV News,CTV Windsor: Latest News,1.6122758
Service Canada doubled its efforts in summer to reduce passport wait times; did it work?,https://www.ctvnews.ca/canada/service-canada-doubled-its-efforts-in-summer-to-reduce-passport-wait-times-did-it-work-1.6123976,"Tue, 25 Oct 2022 11:13:00 -0400","After many Canadians were frustrated with long passport wait times earlier this year, Service Canada doubled its efforts by hiring more staff to expedite processing times. A CTVNews.ca analysis shows it led to an 87% increase in passports issued in October, compared to May, when the backlog was at its worst.",,CTV News,CTV Windsor: Latest News,1.6123976
"Woman scammed out of $8,000 in Chatham-Kent: CKPS",https://windsor.ctvnews.ca/woman-scammed-out-of-8-000-in-chatham-kent-ckps-1.6124047,"Tue, 25 Oct 2022 11:41:18 -0400","Chatham-Kent police officers are warning the public about a scam that resulted in a local woman being defrauded of $8,000.",,CTV News,CTV Windsor: Latest News,1.6124047
